id,num_contrato,num_estimacion,tipoEstimacion,id_deducion,porcentaje1,importe_deducion,id,nombre_deduccion,porcentaje,fecha,fecha_modificacion
204,SIDUR-ED-16-093.92,1,1,12,0.03,91.27,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
205,SIDUR-ED-16-093.92,1,1,11,0.03,91.27,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
206,SIDUR-ED-16-092.98,1,1,14,0.2,821.05,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
207,SIDUR-ED-16-092.98,1,1,13,0.03,123.16,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
208,SIDUR-ED-16-092.98,1,1,12,0.03,123.16,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
209,SIDUR-ED-16-092.98,1,1,11,0.03,123.16,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
210,SIDUR-PF-15-064.31,3,1,8,0.5,11040.61,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
219,SIDUR-ED-16-102.90,1,1,15,0.2,889.11,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
220,SIDUR-ED-16-102.90,1,1,14,0.2,889.11,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
221,SIDUR-ED-16-102.90,1,1,13,0.03,133.37,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
222,SIDUR-ED-16-102.90,1,1,12,0.03,133.37,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
223,SIDUR-ED-16-102.90,1,1,11,0.03,133.37,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
224,SIDUR-PF-15-072.27,1,1,8,0.5,2861.58,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
225,SIDUR-PF-15-081.32,1,1,8,0.5,3906.06,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
226,SIDUR-PF-15-093.39,1,1,8,0.5,7592.84,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
227,SIDUR-PF-15-093.39,2,1,8,0.5,3003.55,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
228,SIDUR-PF-15-086.30,1,1,8,0.5,3603.53,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
229,SIDUR-ED-16-085.183,1,1,14,0.2,156,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
230,SIDUR-ED-16-085.183,1,1,13,0.03,23.4,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
231,SIDUR-ED-16-085.183,1,1,12,0.03,23.4,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
232,SIDUR-ED-16-085.183,1,1,11,0.03,23.4,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
233,SIDUR-ED-16-091.95,1,1,14,0.2,1258.32,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
234,SIDUR-ED-16-091.95,1,1,13,0.03,188.75,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
235,SIDUR-ED-16-091.95,1,1,12,0.03,188.75,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
