Prog_Id,num_contrato,Prog_Del,Prog_Al,Prog_Monto
2574,SIDUR-ED-16-374.441,20161122,20161130,69661.79
2575,SIDUR-ED-16-374.441,20161201,20161212,69416.61
2582,SIDUR-ED-16-376.482,20161118,20161130,338518.37
2583,SIDUR-ED-16-376.482,20161201,20161231,869529.47
2584,SIDUR-ED-16-376.482,20170101,20170112,53897.72
2588,SIDUR-ED-16-380.461,20161102,20161130,53121.62
2592,SIDUR-ED-16-380.461,20161201,20161231,53121.62
2593,SIDUR-ED-16-396.479,20161212,20161231,705843.97
2594,SIDUR-ED-16-398.443,20161101,20161130,511855.39
2609,SIDUR-ED-16-037.79,20160710,20160731,2277483.62
2610,SIDUR-ED-16-037.79,20160801,20160831,10107094.81
2611,SIDUR-ED-16-037.79,20160901,20160930,791833.37
2612,SIDUR-ED-16-037.79,20161001,20161031,3605867.22
2613,SIDUR-ED-16-037.79,20161101,20161128,3817374.77
2614,SIDUR-ED-16-039.81,20160527,20160531,1167.7
2615,SIDUR-ED-16-039.81,20160601,20160630,288641.69
2616,SIDUR-ED-16-039.81,20160701,20160731,2304552.08
2617,SIDUR-ED-16-039.81,20160801,20160831,3583224.48
2618,SIDUR-ED-16-039.81,20160901,20160930,850129.45
2619,SIDUR-ED-16-039.81,20161001,20161030,6671229.65
2620,SIDUR-ED-16-131.109,20160606,20160630,132836.48
2621,SIDUR-ED-16-131.109,20160701,20160731,164717.24
2622,SIDUR-ED-16-131.109,20160801,20160831,164717.24
2623,SIDUR-ED-16-131.109,20160901,20160930,82358.62
2624,SIDUR-ED-16-131.109,20161001,20161031,82358.62
2625,SIDUR-ED-16-131.109,20161101,20161102,10626.92
2663,SIDUR-PF-16-328.382,20161104,20161130,134304.73
2664,SIDUR-PF-16-328.382,20161201,20161231,205252.51
2665,SIDUR-PF-16-328.382,20170101,20170131,1070045.62
2666,SIDUR-PF-16-328.382,20170201,20170201,290310.47
2669,SIDUR-PF-16-306.389,20161104,20161130,59997.57
2670,SIDUR-PF-16-306.389,20161201,20161231,266996.66
2671,SIDUR-PF-16-306.389,20170101,20170131,406430.23
2672,SIDUR-PF-16-306.389,20170201,20170201,697.41
